,Comment
37,"
    hepsiburada satıcılarının denetimine özenmediği sürece, yorumlara müdahale ettikleri sürece ancak günü kurtarırlar. alışkanlık; hepsiburada sana ürünü anlatsın git trendyoldan al şeklinde olur.
  "
38,"
    n11 ve trendyol bunun yanında af diler, tövbe ister. n11'in bir paket kedi kumunu 3 haftada anca getirmişliği var. trendyol ise o kadar güven vermiyor ki (zaten çakma ürünler cirit atıyormuş, öyle diyorlar) bir kere bile tercih etmedim. ayrıca agresif reklamları çok itici geliyor. amazonu ise denemedim.hepsiburadadan pazartesi akşamı sipariş ettiğim telefon, bugün bana teslim edilmek üzere dağıtıma çıkmış. bence içinde bulunduğumuz döneme göre gayet iyi bir süre bu. bunun haricinde 7-8 kere daha hepsiburadadan alışveriş yaptım ve sıkıntı ile karşılaşmadım.özet olarak; trendyol'dan kesinlikle uzak durun. 3 hafta kargo beklemek istiyorsanız n11'i seçebilirsiniz. amazon üçünden de daha iyidir muhtemelen gidin ondan alın.
  "
39,"
    yorum yazdıracak kadar iyi bir alışveriş deneyimi yaşatan site. aradığım ürünü alternatif sitelerden daha ucuza sattıklarını görüp çarşamba gününün ilk saatlerinde sipariş verdim, 'bu yoğunlukta haftaya gelir' diye düşünürken perşembe günü kargomu teslim edip şaşırttılar. alkışlıyorum.
  "
40,"
    bu firmadan artık alışveriş yapılmaz, bonusumla bir cihaz alayım dedim, ürünü 320 tl ye aldım pazartesi günü teslim olacak diye yazıyordu satın aldığımda, aradan 4 gün geçti hala ürün kargoda ve belki cuma günü gelir diyorlar. bu çok büyük bir sorun değil ama aldığım üründe 40 tl indirim olmuş, anlamadığım şey eğerki siz kasım ayına özel indirim yapıyorsanız bunu neden tek seferde yapmıyorsunuz? biz pazarın akşam saatleri gibi indirimin son günlerinimi kovalamalıyız ?
  "
41,"
    koca koca puntolarla reklam yaparlar, dufy marka sisme mont 99 tl diye. aa ucuzmus diyip alirsin, indirim zannedersin. bu surecte de alternatif indirimde olan bir cok urunu almazsin. aradan tam 20 gun gecer, yazarsin ne oldu bu urun diye. isterseniz iptal edelim derler. dersin ki, niye iptal edeyim ben urunu almak istiyorum beklerim. genel merkezinden ararlar, iptal edebiliriz derler. yahu kardesim niye iptal edeyim dersin. sonra bakarlar israrci, satici olan dufy yi ararlar ve 3 aralikta kargo'ya verilecegi bilgisi iletildi, kargoya verilmezse bize haber verin derler. hop, yarin bir mail gelir urununuz iptal edilmistir, paraniz yatirilmistir hesabiniza diye. bir de 10 tl indirim kuponu tanimlarlar cok iyi niyetli olduklari icin :)bu indirim surecinde belki 25 tane irili ufakli urun almisimdir, kedi kumundan elektrikli supurgeye, cezvesinden utusune. hicbirinde sikinti cikmadi. trendyol, n11 , gittigidiyor dan aldim onlari. bilin bakalim hepsiburadadan sadece kac urun aldim? 2. digeri de 6li corap seti, onu da bu montu alirken onerdi, ekledim sepete. niyetim de yoktu yani. o geldi. mont iptal oldu. siz yazin, yazin koca koca puntolarla yazin 99 tl mont diye, anasayfaniza koyun yildizli indirim virt zirt diye. bu sitenin yaptigi indirime bilmem neye bir daha inanan ne olsun. indirimmis, hee indirim. gelmeyecek olan urunu indirip, patir patir reklami ben de yaparim. bu ayni istem disi siparis iptali konusunda 3. deneyimim. diger sitelerde bir kere bile yasamadim bu durumu, bir. gule gule hepsiburada, beni bu sefer tamamen kaybettin, bir olur iki olur ucuncusu bok olur derler. bu siteden indirim ayagina bir seyler alacak olursaniz diye yazdim deneyimimi.
  "
42,"
    kasım kampanyaları ve black friday ile tamamen çuvallamış alışveriş sitesidir. zaten hiçbir şeye gerçekten indirim yapılmayan kampanya günlerinden bahsetmeyeceğim ama ailemden birinin doğum günü sebebiyle 13 kasım’da kargoya verilen 2 siparişimden biri 18 kasım’da bana teslim edileceği söylendiği halde halen tarafıma ulaşmadı. ürünün satıcısı hepsiburada, kargo da hepsijet. siparişlerden biri sürat kargo idi o bile gecikmeli olduğu halde geldi ama hepsijet’e verilen gelmiyor.haklarını yemek istemiyorum, geçen ay kampanyalar yokken verdiğim sipariş 2. iş gününde elimdeydi hepsijet ile ama demek ki bu kampanyalar sizi aşıyor kardeşim. madem kapasiteniz yetmeyecek neden reklamlarınızla yeri göğü inletip, altından kalkamayacağınız işe girişiyorsunuz?
  "
43,"
    bu indirim sürecinde aldığım birkaç ürün sahte geldi. yazılan markadan farklı vs. bunları belirttiğim yorumlar yazdım, hiçbirisi yayınlanmadı. ürünle ilgili olumlu/olumsuz yorumları sadece yayınlıyoruz şeklinde uyarı aldım üstüne. e ben zaten markası sahte diye yorum yapmışım, fotoğraf da paylaşmışım.bu siteden alışveriş yapacaklara çok dikkatli olmalarını öneririm. zira marka yazıp markasız ürün göndermek adet olmuş.
  "
44,"
    dün öğlen verdiğim sipariş hepsijet ile elime bugun ulaştı. helal olsun dedim. diğer verdiğim siparişlerde birkaç gün içinde ulaştı. alışveriş sitesi işini bırakıp hepsijetle mngye falan gayet rakip olabilirler bence. kargo firmalarının durumları malum.(bkz: reklam değil alın teri)
  "
45,"
    siparişimi 3 gündür kargoya veremeyen firma. sitesindeki bilgiye göre, paketimi özenle hazırlıyorlarmış 3 gündür. ben o kadar özeni hak etmiyorum sevgili hepsiburada. hızlıca verin şunu kargoya.düzeltme1: 4 gün oldu.düzeltme2: 1 hafta sonra geldi sonunda.
  "
46,"
    artık tüm siparişlerimi amazon.com.tr'den vermeye çalışıyorum. amazon'da olmayan birkaç ürünü nasıl olsa kitap diye hepsiburada'dan verdim.neredeyse 2 hafta bir ürünü tedarik etmeleri için bekledim. sonra ürünü küfür eder gibi ptt kargo'ya vermişler. az kaldı bir ay olacak siparişi vereli.bulunduğum şehirden hepsiburada'nın deposuna yürüyerek gidip gelsem daha kısa sürerdi ürünü almam.kendi düşen ağlamaz.tanım: ptt kargo ile tencere kapak uyumuna sahip alışveriş sitesi.
  "
47,"
    bir arkadaş çok iyi özetlemiş aslında: kendi düşen ağlamazlütfen arkadaşlar. hb trendyol gg n11 gibi sitelerden yaptığınız alışverişlerin şikayetlerini duymaktan sıkıldık artık.
  "
48,"
    14 kasım 2020 günü 867 647 345 sipariş numarası ile birlikte konuyla alakasız başka ürünler ile birlikte aşağıdaki ürünü satın aldım.https://www.hepsiburada.com/…istemi-p-hbv00000sdccf17 kasım tarihinde ürün elime ulaştı, montajını yaptım ancak ürün arızalı çıktı.690 050 311 talep numarası ile sorunu bildirdim ve 19 kasım tarihinde ürünü kargoya geri verdim. ürün taraftlarına ulaştıktan sonra 2 gün içerisinde geri dönüleceği bilgisini verdiler. ürün 22 kasım tarihinde ellerine ulaştı. tabiiki hepsiburada klasiği olarak hiç bir sözünü tutmadılar ve bana dönmediler. 24 kasım tarihinde noldu acaba diye sormak için aradım. hepsiburada anlayışı bunu gerektirir. 2 gün içerisinde size dönülecektir dediler. 2 gün daha bekledim. 26 kasım tarihinde yani bu gün whatsapp üzerinden iletişime geçtim. benimle resmen dalga geçtiler. merak ettiğim ise; neden iade yapmıyorsunuz? / durum ne zaman çözülecek? / benim suçum olmayan bir sebepten ötürü neden bekletiliyorum.şu mesajlar karışık sırayla bana iletildi.""hassasiyetinizi anlıyorum fakat tarafımca başka işlem sağlayamıyorum. sürece müdahalede bulunamıyorum.""""müşteri temsilcisi olarak adınıza bütün aksiyonları gerçekleştirdim. işlemlerinizin hızlanması adına gereken süreçler aktarılmış olup beklemenizi rica edeceğim belirtilen tarihlerde tarafınıza mutlaka geri dönüş yapılacaktır.""""size anlık olarak yardımcı olmayı çok isterim fakat tarafımca farklı bir işlem sağlanamamaktadır.""müşteri hizmetlerine hiç bir yetki vermeyecekseniz neden oradalar? insanları neden oyalamayı benimsediniz. insanların nefret ettiği bir firma olarak ne kadar süre idare edebileceğinizi düşünüyosunuz.
  "
49,"
    3 ay kadar önce mugofi isimli mağazadan bir tıraş aleti sipariş ettim ve paketi açılıp kullanılmış halde geldi. evet yanlış okumadınız, paketin açılmasını geçtim üzerinde çok küçük kıllar bile vardı. iade talep ettim ve kabul edildi param ödendi. ancak ürünün altına fotoğraflı olarak yaptığım yorumu ise sildiler (hiç yayınlanmadı desek daha doğru olur.) dükkan hala aynı ürünü satmaya devam ediyor, ürünün altında yüzlerce güzel yorum var. ancak başınıza böyle bir şeyin gelmeyeceğinin garantisi yok, en ufak eleştirel yorum siliniyor. işte yaklaşık böyle bir yer hepsiburada.com
  "
50,"
    (bkz: 26 kasım 2020 hepsiburada memnuniyeti)
  "
51,"
    iphone 12 için 5.999 tl'den başlayan fiyatlar deyip, milleti aptal yerine koyan firma. başka da bir şey demiyorum.sen gidip iphone x'ini bunlara verip, üstüne 6k verip, iphone 12 alacaksın; adamlar bunu manşetten duyuruyor ""başlayan fiyatlar"" deyip. saygısızlık, ahlaksızlık ve soygunculuk.
  "
52,"
    sitesinde şöyle yazıyor:""ürünlerin cayma hakkı dahilinde iade alınabilmesi için;satın alınan ürünün orijinal kutusunda, ambalajı açılmamış ve zarar görmemiş olması,...""ulan ambalajını açmadan nasıl inceleyeceğim internetten görüp aldığım ürünü? mesafeli satış, cayma hakkı denen şeyin özü bu zaten. dükkanda eline alıp inceleyemediğin için ambalajı açıp inceleyeceksin, beğenmezsen iade edeceksin. hiç kanun böyle falan demesin kimse... amazon götüne bile soksan iade alıyor.
  "
53,"
    yıllarca alış veriş yaptığım ve bugüne kadar hiç sorun yaşamadığım pazar yeri
  "
